X,Y,RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,Location,Old_District,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents
-76.5721359999999,39.2992990000001,1,22B07631,2022/02/26 04:00:00+00,5B,BURGLARY,,,334,NA,,,,3200 E MONUMENT ST,EASTERN,N/A,ORANGEVILLE INDUSTRIAL AREA,39.299298999999998,-76.572136,"(39.299298999999998,-76.572136)",,1
-76.577016,39.284135,2,22B07176,2022/02/26 07:24:00+00,6C,LARCENY,,,214,NA,,,,2800 FOSTER AVE,SOUTHEAST,N/A,CANTON,39.284134999999999,-76.577016,"(39.284134999999999,-76.577016)",,1
-76.644308,39.2713580000001,3,22B07181,2022/02/26 05:40:00+00,5F,BURGLARY,,,941,NA,,,,1300 WESTERN AVE,SOUTHERN,N/A,CARROLL - CAMDEN INDUSTRIAL AREA,39.271357999999999,-76.644307999999995,"(39.271357999999999,-76.644307999999995)",,1
-76.560956,39.308166,4,22B07215,2022/02/26 11:25:00+00,3CF,ROBBERY - COMMERCIAL,,FIREARM,433,NA,,,,4700 ERDMAN AVE,NORTHEAST,N/A,ARMISTEAD GARDENS,39.308166,-76.560956000000004,"(39.308166,-76.560956000000004)",,1
-76.5444639999999,39.371811,5,22B07329,2022/02/26 00:25:00+00,5F,BURGLARY,,,424,NA,,,,7600 HARFORD RD,NORTHEAST,N/A,NORTH HARFORD ROAD,39.371811000000001,-76.544464000000005,"(39.371811000000001,-76.544464000000005)",,1
-76.5681059999999,39.36717,6,22B07450,2022/02/25 09:00:00+00,6J,LARCENY,,,423,F,43,BLACK_OR_AFRICAN_AMERICAN,,2200 FLEETWOOD AVE,NORTHEAST,N/A,HAMILTON HILLS,39.367170000000002,-76.568106,"(39.367170000000002,-76.568106)",,1
-76.660583,39.2635750000001,7,22B07311,2022/02/25 01:30:00+00,4E,COMMON ASSAULT,,PERSONAL_WEAPONS,831,F,21,,UNKNOWN,1600 FOREST HILL AVE,SOUTHWEST,N/A,MORRELL PARK,39.263575000000003,-76.660583000000003,"(39.263575000000003,-76.660583000000003)",,1
-76.594796425,39.2940722340001,8,22E08375,2022/02/25 13:25:00+00,7A,AUTO THEFT,,,212,F,35,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,200 N Bethel Ct,SOUTHEAST,N/A,,39.294072233638545,-76.59479642520479,"(39.294072233638545,-76.59479642520479)",,1
-76.607479,39.3552960000001,9,22C08751,2022/02/25 20:00:00+00,6D,LARCENY FROM AUTO,,,523,F,62,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,600 WOODBOURNE AVE,NORTHERN,N/A,MID-GOVANS,39.355296000000003,-76.607478999999998,"(39.355296000000003,-76.607478999999998)",,1
-76.605113,39.318222,10,22C03320,2022/02/25 09:00:00+00,7A,AUTO THEFT,,,411,F,35,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,600 E 25TH ST,NORTHEAST,N/A,EAST BALTIMORE MIDWAY,39.318221999999999,-76.605113000000003,"(39.318221999999999,-76.605113000000003)",,1
-76.669069468,39.28598399,11,22B07082,2022/02/25 20:30:00+00,4A,AGG. ASSAULT,,FIREARM,835,M,31,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,3100 W BALTIMORE ST,SOUTHWEST,N/A,CARROLL-SOUTH HILTON,39.285983989829433,-76.669069467605723,"(39.285983989829433,-76.669069467605723)",,1
-76.580719,39.305307,12,22B07089,2022/02/25 21:20:00+00,6F,LARCENY,,,332,M,53,,NOT_HISPANIC_OR_LATINO,2600 MURA ST,EASTERN,N/A,BEREA,39.305306999999999,-76.580719000000002,"(39.305306999999999,-76.580719000000002)",,1
-76.61806,39.3122950000001,13,22B07093,2022/02/25 21:05:00+00,4C,AGG. ASSAULT,,PERSONAL_WEAPONS,514,F,44,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,2000 MARYLAND AVE,NORTHERN,N/A,CHARLES NORTH,39.312294999999999,-76.61806,"(39.312294999999999,-76.61806)",,1
-76.5797259999999,39.304198,14,22B07095,2022/02/25 20:00:00+00,4E,COMMON ASSAULT,,PERSONAL_WEAPONS,333,F,15,BLACK_OR_AFRICAN_AMERICAN,,1100 N LAKEWOOD AVE,EASTERN,N/A,BIDDLE STREET,39.304198,-76.579725999999994,"(39.304198,-76.579725999999994)",,1
-76.6616059999999,39.328335,15,22B07099,2022/02/25 21:30:00+00,4E,COMMON ASSAULT,,PERSONAL_WEAPONS,612,M,55,BLACK_OR_AFRICAN_AMERICAN,,2900 ULMAN AVE,NORTHWEST,N/A,PARK CIRCLE,39.328335000000003,-76.661606000000006,"(39.328335000000003,-76.661606000000006)",,1
-76.6235,39.2872370000001,16,22C00401,2022/02/25 18:50:00+00,6D,LARCENY FROM AUTO,,,121,F,37,BLACK_OR_AFRICAN_AMERICAN,,100 S GREENE ST,CENTRAL,N/A,DOWNTOWN WEST,39.287236999999998,-76.623500000000007,"(39.287236999999998,-76.623500000000007)",,1
